Vardas         Pavarde         Galutinis (Vid.)  Galutinis (Med.)
-----------------------------------------------------------------
Vardas1060902  Pavarde8939359  6.72              6.40              
Vardas1088752  Pavarde7848349  6.04              6.00              
Vardas1107535  Pavarde2186841  7.52              7.60              
Vardas111080   Pavarde5028193  5.00              4.60              
Vardas1113274  Pavarde9998042  7.88              8.20              
Vardas1136969  Pavarde7187103  6.04              5.80              
Vardas1177386  Pavarde4818707  5.96              6.00              
Vardas1278875  Pavarde3576791  8.92              9.20              
Vardas1311897  Pavarde9603302  6.68              6.80              
Vardas1312760  Pavarde7373744  5.04              5.20              
Vardas138751   Pavarde8293042  5.36              5.20              
Vardas1438925  Pavarde6141253  5.80              5.60              
Vardas1473265  Pavarde344764   7.76              7.40              
Vardas1474062  Pavarde4223190  6.32              6.20              
Vardas1551964  Pavarde9585422  7.88              7.40              
Vardas155344   Pavarde9209549  8.40              8.60              
Vardas1575119  Pavarde9089676  5.60              5.60              
Vardas1598886  Pavarde7082196  6.24              6.60              
Vardas161571   Pavarde3997018  8.08              8.20              
Vardas1632421  Pavarde1885767  7.64              7.20              
Vardas1643160  Pavarde7002197  7.20              7.60              
Vardas1690906  Pavarde4336363  7.68              7.20              
Vardas1709692  Pavarde4606451  7.32              7.40              
Vardas1710094  Pavarde3879807  7.64              7.60              
Vardas1777287  Pavarde5953693  7.68              8.20              
Vardas1832291  Pavarde3518446  7.24              7.60              
Vardas1867890  Pavarde6133825  5.04              5.00              
Vardas1920467  Pavarde2586491  7.08              7.60              
Vardas1958251  Pavarde4576969  5.76              5.80              
Vardas1983987  Pavarde4159676  5.92              6.00              
Vardas2060009  Pavarde8793821  7.00              7.00              
Vardas2065311  Pavarde9027125  6.12              6.00              
Vardas2104327  Pavarde8152544  5.80              6.20              
Vardas2114272  Pavarde2519461  5.84              5.80              
Vardas2135572  Pavarde779035   6.36              6.20              
Vardas2139727  Pavarde788411   5.20              5.20              
Vardas2148136  Pavarde8724756  7.68              7.40              
Vardas214893   Pavarde1672506  6.68              6.80              
Vardas2199018  Pavarde655782   7.68              7.60              
Vardas2272006  Pavarde6350292  7.84              8.00              
Vardas230919   Pavarde7886477  7.64              8.00              
Vardas2319059  Pavarde4872565  7.84              8.20              
Vardas2332366  Pavarde5712055  7.76              8.20              
Vardas2354727  Pavarde3825608  7.20              7.20              
Vardas2380721  Pavarde5270619  7.32              7.40              
