Vardas         Pavarde         Galutinis (Vid.)  Galutinis (Med.)
-----------------------------------------------------------------
Vardas1090909  Pavarde1742351  4.88              4.20              
Vardas116221   Pavarde552064   3.48              3.80              
Vardas1181053  Pavarde7977166  3.88              4.40              
Vardas1182905  Pavarde3867015  4.00              4.60              
Vardas1185075  Pavarde5582327  3.84              4.00              
Vardas1289174  Pavarde5498188  2.12              1.40              
Vardas1302425  Pavarde6296477  2.84              3.00              
Vardas1360028  Pavarde6670668  3.48              3.60              
Vardas1393043  Pavarde7921317  4.92              5.20              
Vardas1416462  Pavarde2989254  1.80              1.80              
Vardas1475246  Pavarde9449006  3.04              3.00              
Vardas1491982  Pavarde3442335  2.56              2.40              
Vardas1547083  Pavarde177026   4.44              4.40              
Vardas1578002  Pavarde392055   4.64              4.20              
Vardas1778958  Pavarde9419218  3.48              3.80              
Vardas1781574  Pavarde7250978  3.08              2.80              
Vardas1882156  Pavarde7380271  3.52              3.80              
Vardas1903262  Pavarde2730596  2.92              3.20              
Vardas1905354  Pavarde5103506  2.84              3.00              
Vardas1934149  Pavarde144954   4.92              5.00              
Vardas1967750  Pavarde3150401  4.20              4.20              
Vardas197754   Pavarde9671765  3.96              3.80              
Vardas2005858  Pavarde4708544  4.64              4.20              
Vardas2058404  Pavarde5357603  4.00              4.20              
Vardas2117313  Pavarde1758838  4.84              4.80              
Vardas2124370  Pavarde1797504  2.96              2.80              
Vardas2158313  Pavarde1113604  3.20              3.00              
Vardas2239673  Pavarde3382721  4.32              4.40              
Vardas2301998  Pavarde8180617  3.40              3.20              
Vardas2302576  Pavarde6731218  2.96              2.80              
Vardas2305188  Pavarde3866721  2.32              1.80              
Vardas2328574  Pavarde267987   3.72              4.20              
Vardas2357623  Pavarde4680638  4.32              4.20              
Vardas244518   Pavarde2362000  3.68              3.60              
Vardas2495858  Pavarde337234   3.60              3.80              
Vardas261701   Pavarde806680   4.36              4.20              
Vardas2689121  Pavarde5610647  4.40              4.40              
Vardas2717327  Pavarde1938485  3.80              3.80              
Vardas2739814  Pavarde4918350  3.60              3.60              
Vardas2754765  Pavarde5117223  3.76              4.00              
Vardas2841600  Pavarde6091303  3.20              3.20              
Vardas2883543  Pavarde961120   3.72              4.00              
Vardas2951611  Pavarde9405812  2.88              3.20              
Vardas312186   Pavarde6603076  3.52              3.00              
Vardas3180321  Pavarde291579   3.04              2.80              
Vardas3241912  Pavarde6438491  2.84              3.20              
Vardas3265083  Pavarde4648593  4.72              4.60              
Vardas32659    Pavarde6430313  4.32              4.40              
Vardas3301344  Pavarde1200947  4.72              4.80              
Vardas334066   Pavarde7331185  3.72              3.40              
Vardas3400842  Pavarde6833412  4.08              4.00              
Vardas3522681  Pavarde2810115  3.08              3.20              
Vardas3575333  Pavarde6155767  3.44              3.60              
Vardas3695510  Pavarde7205488  3.32              3.20              
Vardas3726231  Pavarde764618   3.24              3.20              
Vardas3726253  Pavarde3573450  3.36              3.40              
Vardas3729545  Pavarde5461361  3.44              3.20              
Vardas3889438  Pavarde3010134  3.92              3.80              
