Pavarde         Vardas         Galutinis (Vid.)  Galutinis (Med.)
-----------------------------------------------------------------
Pavarde1014184  Vardas5345040  7.16              7.20              
Pavarde1018439  Vardas251071   5.40              5.60              
Pavarde1053882  Vardas6555842  5.72              5.60              
Pavarde106066   Vardas844208   8.32              8.60              
Pavarde1098394  Vardas3981895  7.76              7.20              
Pavarde1258845  Vardas6333525  6.04              5.80              
Pavarde138505   Vardas8856021  5.40              5.40              
Pavarde1387496  Vardas4710818  8.28              8.20              
Pavarde1410768  Vardas7012770  4.88              5.00              
Pavarde1444448  Vardas5810962  7.68              8.00              
Pavarde144954   Vardas1934149  4.92              5.00              
Pavarde1544116  Vardas4167302  8.92              9.00              
Pavarde1566869  Vardas8619504  7.80              8.00              
Pavarde1610692  Vardas756932   7.48              7.40              
Pavarde1672506  Vardas214893   6.68              6.80              
Pavarde1719647  Vardas2809420  5.56              5.20              
Pavarde1744967  Vardas4969843  5.40              5.20              
Pavarde1815856  Vardas8453210  5.20              5.40              
Pavarde1824766  Vardas7298557  6.12              6.40              
Pavarde1885767  Vardas1632421  7.64              7.20              
Pavarde1943959  Vardas7320561  5.88              6.00              
Pavarde1954315  Vardas258718   6.16              6.20              
Pavarde1964887  Vardas2481647  8.80              9.00              
Pavarde1977866  Vardas6882191  5.56              5.20              
Pavarde2092766  Vardas8437131  7.20              7.60              
Pavarde2186841  Vardas1107535  7.52              7.60              
Pavarde2214635  Vardas7397217  7.28              7.80              
Pavarde2260290  Vardas5934100  6.64              6.40              
Pavarde2282784  Vardas415452   6.32              6.60              
Pavarde230867   Vardas4397285  7.16              6.60              
Pavarde2342254  Vardas7804105  7.64              7.60              
Pavarde236316   Vardas8832913  5.76              5.80              
Pavarde2404476  Vardas2677031  5.12              5.20              
Pavarde2416132  Vardas2680412  7.32              7.00              
Pavarde2434681  Vardas6795716  7.44              6.60              
Pavarde2438916  Vardas5220145  5.56              5.60              
Pavarde250948   Vardas3642354  5.44              5.40              
Pavarde2513987  Vardas2987448  6.64              6.20              
Pavarde2516822  Vardas5788618  8.20              8.60              
Pavarde2519461  Vardas2114272  5.84              5.80              
Pavarde2529992  Vardas9958100  5.68              5.40              
Pavarde2586491  Vardas1920467  7.08              7.60              
Pavarde2605471  Vardas3967694  6.16              6.20              
Pavarde2629998  Vardas9382432  7.48              7.20              
Pavarde2649375  Vardas9451676  7.52              7.60              
Pavarde2663090  Vardas6197734  7.80              8.00              
Pavarde2669091  Vardas3502447  7.88              8.20              
Pavarde2712842  Vardas8147910  5.28              5.20              
Pavarde2751426  Vardas4264288  7.24              7.80              
Pavarde2775830  Vardas8547987  7.96              8.00              
Pavarde2782026  Vardas6499984  7.12              7.00              
Pavarde2924709  Vardas395514   4.88              5.20              
Pavarde3132218  Vardas6436229  5.04              5.40              
Pavarde314387   Vardas5087889  5.84              5.80              
Pavarde3174696  Vardas8877792  6.92              7.00              
Pavarde3286317  Vardas971180   8.52              8.60              
Pavarde340824   Vardas7426008  6.16              6.20              
Pavarde3408364  Vardas625536   7.52              7.20              
Pavarde344764   Vardas1473265  7.76              7.40              
Pavarde3463339  Vardas3722189  8.36              8.40              
Pavarde3497177  Vardas7332674  6.20              6.40              
Pavarde3508802  Vardas9813467  8.44              8.40              
Pavarde3518446  Vardas1832291  7.24              7.60              
Pavarde3576791  Vardas1278875  8.92              9.20              
Pavarde3621692  Vardas8295567  8.04              8.40              
Pavarde3621874  Vardas9445430  5.56              5.20              
Pavarde3725521  Vardas6643441  5.76              5.80              
Pavarde3813869  Vardas6957294  5.68              5.80              
Pavarde3825608  Vardas2354727  7.20              7.20              
Pavarde383575   Vardas2615050  7.00              7.00              
Pavarde3867661  Vardas2654482  8.32              8.60              
Pavarde3874548  Vardas3376109  6.68              6.40              
Pavarde3879807  Vardas1710094  7.64              7.60              
Pavarde3893462  Vardas8364407  8.36              8.20              
Pavarde390621   Vardas2653833  5.80              6.00              
Pavarde3997018  Vardas161571   8.08              8.20              
Pavarde4055753  Vardas4933526  7.04              6.60              
Pavarde4062250  Vardas6766132  4.64              5.00              
Pavarde406368   Vardas8894736  7.72              8.00              
Pavarde4070426  Vardas2673221  6.04              6.40              
Pavarde4159676  Vardas1983987  5.92              6.00              
Pavarde416169   Vardas5203721  4.96              5.20              
Pavarde4168090  Vardas4850201  4.84              5.20              
Pavarde4191068  Vardas7696228  5.84              5.80              
Pavarde4192586  Vardas4572619  7.68              7.20              
Pavarde4222841  Vardas4527057  6.48              6.60              
Pavarde4223190  Vardas1474062  6.32              6.20              
Pavarde4251214  Vardas4137548  7.96              8.20              
Pavarde4252944  Vardas8285365  5.76              6.20              
Pavarde4300400  Vardas5500113  7.96              7.80              
Pavarde4312544  Vardas9313801  7.44              7.40              
Pavarde4336363  Vardas1690906  7.68              7.20              
Pavarde4356373  Vardas822865   6.76              6.80              
Pavarde4358397  Vardas5881215  5.68              5.60              
Pavarde4371317  Vardas3808015  7.72              7.80              
Pavarde4395527  Vardas5344652  8.16              8.20              
Pavarde4419717  Vardas5727564  5.64              6.00              
Pavarde4450356  Vardas3412131  8.16              8.20              
Pavarde4576969  Vardas1958251  5.76              5.80              
Pavarde4606451  Vardas1709692  7.32              7.40              
Pavarde4669403  Vardas7060835  7.84              7.80              
Pavarde4696389  Vardas8948747  6.84              6.60              
Pavarde4716965  Vardas574431   5.64              5.60              
Pavarde4732152  Vardas6586947  6.60              6.20              
Pavarde4746559  Vardas7273524  8.04              8.20              
Pavarde4750814  Vardas6458948  7.24              7.20              
Pavarde4787092  Vardas7073650  4.64              5.00              
Pavarde4808919  Vardas4232322  8.16              8.60              
Pavarde4814459  Vardas7681823  8.72              9.00              
Pavarde4818707  Vardas1177386  5.96              6.00              
Pavarde4861935  Vardas2535449  7.48              7.20              
Pavarde4872565  Vardas2319059  7.84              8.20              
Pavarde4902578  Vardas3019786  7.32              7.00              
Pavarde4946495  Vardas5408250  6.12              7.00              
Pavarde4987297  Vardas3769130  6.68              6.60              
Pavarde499710   Vardas9638835  6.96              7.20              
Pavarde5001773  Vardas5431167  6.32              6.20              
Pavarde503371   Vardas3167334  7.84              8.20              
Pavarde5043083  Vardas7618438  7.96              8.00              
Pavarde5091671  Vardas2747118  5.48              5.20              
Pavarde524141   Vardas3786799  8.00              8.00              
Pavarde5270619  Vardas2380721  7.32              7.40              
Pavarde5292646  Vardas7021476  7.52              7.40              
Pavarde5314415  Vardas6948375  5.16              5.20              
Pavarde5344628  Vardas6577547  7.12              7.40              
Pavarde5355981  Vardas5816345  7.12              7.00              
Pavarde538577   Vardas942238   6.56              6.40              
Pavarde5410802  Vardas8844846  5.32              5.40              
Pavarde5442212  Vardas5726533  7.52              7.80              
Pavarde5476201  Vardas3387494  7.40              7.60              
Pavarde5543514  Vardas4165850  6.20              6.20              
Pavarde5552427  Vardas3989209  7.12              7.00              
Pavarde5567493  Vardas9517711  5.56              5.60              
Pavarde5623536  Vardas7270902  5.00              5.00              
Pavarde5625972  Vardas8185539  5.12              5.60              
Pavarde5662265  Vardas4392232  6.08              5.80              
Pavarde5668788  Vardas4202365  6.68              6.60              
Pavarde568076   Vardas7486759  5.32              5.40              
Pavarde5712055  Vardas2332366  7.76              8.20              
Pavarde5720869  Vardas4108911  5.60              5.40              
Pavarde5760865  Vardas7891587  5.44              5.60              
Pavarde580607   Vardas8988973  6.64              6.40              
Pavarde5818653  Vardas3164552  7.64              7.40              
Pavarde5820047  Vardas5735575  5.92              5.80              
Pavarde584466   Vardas7418881  8.56              8.80              
Pavarde5868003  Vardas8032350  6.64              6.60              
Pavarde5898766  Vardas3244501  6.84              7.00              
Pavarde5938685  Vardas4144184  5.72              6.00              
Pavarde5953693  Vardas1777287  7.68              8.20              
Pavarde6062249  Vardas4984397  5.16              5.60              
Pavarde6067831  Vardas458670   6.92              6.80              
Pavarde6080293  Vardas4741334  7.84              7.60              
Pavarde6133825  Vardas1867890  5.04              5.00              
Pavarde6141253  Vardas1438925  5.80              5.60              
Pavarde6198854  Vardas5098296  8.44              8.40              
Pavarde6263350  Vardas4842966  7.72              7.60              
Pavarde6268059  Vardas9801055  5.36              5.40              
Pavarde6308995  Vardas5414260  5.68              5.40              
Pavarde6314771  Vardas8709519  6.40              6.60              
Pavarde6339611  Vardas3220256  5.96              6.20              
Pavarde6350292  Vardas2272006  7.84              8.00              
Pavarde6361563  Vardas3114774  8.04              8.60              
Pavarde6410030  Vardas6341948  7.88              7.60              
Pavarde6427864  Vardas6412690  7.92              7.80              
Pavarde6460955  Vardas8969886  6.32              5.80              
Pavarde6479720  Vardas6631862  7.60              7.40              
Pavarde6522347  Vardas9213040  5.16              5.40              
Pavarde6537101  Vardas2643624  6.68              7.20              
Pavarde6538756  Vardas4094370  8.16              8.20              
Pavarde6545586  Vardas5913175  5.64              6.00              
Pavarde655782   Vardas2199018  7.68              7.60              
Pavarde6706213  Vardas7674927  7.96              8.00              
Pavarde6837547  Vardas5821315  6.92              6.80              
Pavarde6861925  Vardas434260   5.76              6.20              
Pavarde6867     Vardas5880406  5.72              5.60              
Pavarde6916130  Vardas9157312  7.48              7.40              
Pavarde696387   Vardas7164423  4.96              5.20              
Pavarde696632   Vardas5829796  6.28              5.80              
Pavarde7002197  Vardas1643160  7.20              7.60              
Pavarde7029059  Vardas569217   7.56              7.80              
Pavarde704181   Vardas5450901  6.40              6.20              
Pavarde7068823  Vardas8684778  8.24              8.40              
Pavarde707755   Vardas6682866  7.64              7.20              
Pavarde7082196  Vardas1598886  6.24              6.60              
Pavarde7095816  Vardas421092   6.44              6.80              
Pavarde7187103  Vardas1136969  6.04              5.80              
Pavarde7268501  Vardas829860   7.56              7.20              
Pavarde7371263  Vardas4208215  7.16              7.20              
Pavarde7373744  Vardas1312760  5.04              5.20              
Pavarde7394099  Vardas6438263  6.40              6.40              
Pavarde7411686  Vardas9910647  7.92              8.40              
Pavarde7420350  Vardas9509601  7.80              8.20              
Pavarde7433082  Vardas8090475  7.44              7.40              
Pavarde7440319  Vardas2577893  6.48              6.20              
Pavarde7480130  Vardas4458274  5.60              5.40              
Pavarde7485752  Vardas8220173  8.76              9.00              
Pavarde7500808  Vardas7603478  6.84              7.20              
Pavarde7548718  Vardas3935681  5.00              5.00              
Pavarde756126   Vardas6761316  5.60              5.60              
Pavarde7582471  Vardas7747388  5.24              5.40              
Pavarde7628600  Vardas9399589  7.28              7.20              
Pavarde7635020  Vardas760140   6.64              6.80              
Pavarde7666118  Vardas8036856  8.08              7.80              
Pavarde7747274  Vardas3099782  8.40              8.60              
Pavarde779035   Vardas2135572  6.36              6.20              
Pavarde779715   Vardas6540030  5.68              5.60              
Pavarde784331   Vardas2966917  8.20              8.20              
Pavarde7848349  Vardas1088752  6.04              6.00              
Pavarde788411   Vardas2139727  5.20              5.20              
Pavarde7886477  Vardas230919   7.64              8.00              
Pavarde7895449  Vardas3765607  6.40              6.40              
Pavarde7921317  Vardas1393043  4.92              5.20              
Pavarde8016148  Vardas8333690  6.16              6.20              
Pavarde8042161  Vardas2945593  6.68              6.80              
Pavarde8152544  Vardas2104327  5.80              6.20              
Pavarde8204440  Vardas7886581  8.16              8.00              
Pavarde8235544  Vardas9304703  7.84              7.60              
Pavarde8266235  Vardas626328   8.08              8.40              
Pavarde829190   Vardas4313217  5.60              5.40              
Pavarde8293042  Vardas138751   5.36              5.20              
Pavarde8298741  Vardas4118832  5.40              5.60              
Pavarde837740   Vardas4791446  6.68              6.20              
Pavarde8407655  Vardas5426551  5.28              5.00              
Pavarde8419613  Vardas4187372  6.64              6.60              
Pavarde8447936  Vardas8301599  6.16              6.20              
Pavarde8451789  Vardas7288953  5.64              6.20              
Pavarde848091   Vardas5128747  7.12              7.00              
Pavarde8562773  Vardas9381134  8.32              8.40              
Pavarde8617023  Vardas4798995  8.08              8.20              
Pavarde8698125  Vardas6072562  5.72              5.60              
Pavarde8702570  Vardas3929259  5.92              6.20              
Pavarde8714245  Vardas6547200  7.16              6.80              
Pavarde8724756  Vardas2148136  7.68              7.40              
Pavarde8741953  Vardas8232544  5.72              5.40              
Pavarde8793821  Vardas2060009  7.00              7.00              
Pavarde8811838  Vardas2952324  8.04              8.20              
Pavarde8838407  Vardas5670038  8.52              8.80              
Pavarde8838440  Vardas5065305  7.60              7.60              
Pavarde8842986  Vardas3246733  7.32              7.80              
Pavarde8876949  Vardas6913736  7.12              7.20              
Pavarde8908104  Vardas8992229  6.04              5.80              
Pavarde8939359  Vardas1060902  6.72              6.40              
Pavarde8997400  Vardas9304635  8.44              9.00              
Pavarde9018305  Vardas9998943  7.92              8.00              
Pavarde9027125  Vardas2065311  6.12              6.00              
Pavarde9042901  Vardas687305   6.60              6.00              
Pavarde9089676  Vardas1575119  5.60              5.60              
Pavarde9181065  Vardas916278   7.32              7.40              
Pavarde9209549  Vardas155344   8.40              8.60              
Pavarde9216615  Vardas9397448  6.84              7.20              
Pavarde9227636  Vardas9536223  7.44              7.60              
Pavarde9281585  Vardas8753264  7.80              7.60              
Pavarde930338   Vardas4969972  5.60              5.60              
Pavarde9319074  Vardas9101421  7.20              7.40              
Pavarde9343246  Vardas2702582  7.80              7.80              
Pavarde935021   Vardas8193661  6.28              6.40              
Pavarde937658   Vardas5918304  7.40              7.20              
Pavarde940365   Vardas7969497  5.28              5.20              
Pavarde9422468  Vardas7182059  7.68              7.60              
Pavarde9426622  Vardas9816331  7.72              7.80              
Pavarde9436486  Vardas4414725  6.16              6.20              
Pavarde9553548  Vardas4395142  6.24              6.20              
Pavarde9585422  Vardas1551964  7.88              7.40              
Pavarde9603302  Vardas1311897  6.68              6.80              
Pavarde9636151  Vardas3655400  5.48              5.40              
Pavarde9683758  Vardas7643538  7.40              7.20              
Pavarde9753452  Vardas9674841  6.04              5.40              
Pavarde9765247  Vardas4950870  6.56              6.60              
Pavarde9987537  Vardas6281863  6.56              6.60              
Pavarde9998042  Vardas1113274  7.88              8.20              
