Pavarde         Vardas         Galutinis (Vid.)  Galutinis (Med.)
-----------------------------------------------------------------
Pavarde1113604  Vardas2158313  3.20              3.00              
Pavarde1200947  Vardas3301344  4.72              4.80              
Pavarde1429687  Vardas4680888  4.32              4.40              
Pavarde1538069  Vardas7927114  3.24              3.40              
Pavarde1548371  Vardas4183132  3.32              3.40              
Pavarde1619584  Vardas8144938  4.12              3.80              
Pavarde1635679  Vardas7781887  4.40              4.20              
Pavarde1693784  Vardas4763620  2.60              2.40              
Pavarde1742351  Vardas1090909  4.88              4.20              
Pavarde1758838  Vardas2117313  4.84              4.80              
Pavarde177026   Vardas1547083  4.44              4.40              
Pavarde1797504  Vardas2124370  2.96              2.80              
Pavarde1880311  Vardas4161351  4.68              4.60              
Pavarde1907421  Vardas5389977  5.36              5.00              
Pavarde1938485  Vardas2717327  3.80              3.80              
Pavarde2051627  Vardas9153814  4.52              4.40              
Pavarde2179692  Vardas4891865  3.00              3.20              
Pavarde2180082  Vardas5772059  4.00              4.20              
Pavarde2202001  Vardas7133013  3.24              3.40              
Pavarde2220687  Vardas40532    3.80              3.80              
Pavarde2225920  Vardas6774965  3.32              3.40              
Pavarde2256504  Vardas6907852  4.12              4.00              
Pavarde2264243  Vardas6796364  3.28              3.60              
Pavarde2362000  Vardas244518   3.68              3.60              
Pavarde2366110  Vardas9808898  3.84              3.40              
Pavarde2491565  Vardas8033128  3.32              3.20              
Pavarde2534146  Vardas7058793  3.28              3.40              
Pavarde267987   Vardas2328574  3.72              4.20              
Pavarde2730596  Vardas1903262  2.92              3.20              
Pavarde2732109  Vardas900792   3.96              4.20              
Pavarde2810115  Vardas3522681  3.08              3.20              
Pavarde2858326  Vardas8114870  4.60              4.80              
Pavarde291579   Vardas3180321  3.04              2.80              
Pavarde2961819  Vardas9155630  2.52              2.00              
Pavarde2989254  Vardas1416462  1.80              1.80              
Pavarde3010134  Vardas3889438  3.92              3.80              
Pavarde3010690  Vardas9021118  2.68              2.40              
Pavarde3067205  Vardas469925   3.32              3.40              
Pavarde3078735  Vardas4172597  4.84              4.80              
Pavarde3150401  Vardas1967750  4.20              4.20              
Pavarde3150436  Vardas8042973  3.24              3.40              
Pavarde3241229  Vardas9382252  3.32              3.60              
Pavarde32424    Vardas6676236  4.24              4.40              
Pavarde330739   Vardas5050402  4.32              4.60              
Pavarde3312223  Vardas7348251  3.32              3.80              
Pavarde3335248  Vardas8564359  4.48              4.60              
Pavarde3353825  Vardas5314117  2.92              3.00              
Pavarde337234   Vardas2495858  3.60              3.80              
Pavarde3382721  Vardas2239673  4.32              4.40              
Pavarde3421044  Vardas780921   4.40              4.20              
Pavarde3425648  Vardas7891966  3.40              3.20              
Pavarde3442335  Vardas1491982  2.56              2.40              
Pavarde3528830  Vardas913493   3.08              3.00              
Pavarde3545600  Vardas3923302  3.88              4.20              
Pavarde3573450  Vardas3726253  3.36              3.40              
Pavarde3601325  Vardas6590130  2.76              2.60              
Pavarde3645657  Vardas5492319  3.16              2.80              
Pavarde3659141  Vardas5405334  3.52              3.60              
Pavarde3689505  Vardas5513111  2.12              1.80              
Pavarde3813395  Vardas7989523  3.56              3.60              
Pavarde3848640  Vardas7759832  4.88              4.80              
Pavarde3866721  Vardas2305188  2.32              1.80              
Pavarde3867015  Vardas1182905  4.00              4.60              
Pavarde392055   Vardas1578002  4.64              4.20              
Pavarde4162121  Vardas8012038  4.52              4.80              
Pavarde4221425  Vardas38945    3.48              3.40              
Pavarde4388025  Vardas9704916  2.00              1.60              
Pavarde4648593  Vardas3265083  4.72              4.60              
Pavarde4680638  Vardas2357623  4.32              4.20              
Pavarde4708544  Vardas2005858  4.64              4.20              
Pavarde4780393  Vardas9384418  4.20              4.20              
Pavarde4827125  Vardas6310763  4.64              4.80              
Pavarde4842856  Vardas4318397  3.16              3.60              
Pavarde4918350  Vardas2739814  3.60              3.60              
Pavarde5028193  Vardas111080   5.00              4.60              
Pavarde5089678  Vardas8204947  3.12              3.00              
Pavarde5103506  Vardas1905354  2.84              3.00              
Pavarde5117223  Vardas2754765  3.76              4.00              
Pavarde51820    Vardas938993   2.96              3.00              
Pavarde5257141  Vardas6696551  3.92              4.00              
Pavarde5279679  Vardas4211717  4.04              4.20              
Pavarde5357603  Vardas2058404  4.00              4.20              
Pavarde5379239  Vardas7410143  2.80              3.00              
Pavarde5461361  Vardas3729545  3.44              3.20              
Pavarde5498188  Vardas1289174  2.12              1.40              
Pavarde552064   Vardas116221   3.48              3.80              
Pavarde557566   Vardas541308   2.68              2.20              
Pavarde5582327  Vardas1185075  3.84              4.00              
